,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
6839,Islamic State says it killed 13 Nigerian soldiers,4/1/2019,,Kukawa,Borno,13.0,Boko Haram,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,Government Building,,,,,Other,"Friday, Sunday, Monday (LGA est)",https://www.evernote.com/shard/s386/sh/708a7b3f-d6ca-439b-acaa-2fa74a1a7af1/c0ea464f6314ca851357fde394f9174b,https://www.evernote.com/shard/s386/sh/afdf82b8-b312-42a4-98f3-a33ea2f25336/c4b4e582813ad3ff9ecf2b60e31dcebd,https://www.evernote.com/l/AYJLETp0BcZJwZoA7hiN6XwUsE85o6wRlew,12.92671,13.58012009,"Kukawa, Borno, Nigeria"
6842,Suspected mad man hacked policeman to death in Kwara,4/2/2019,Omu-Aran,Irepodun,Kwara,1.0,,,,Other Armed Actor,,,,,,,1.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,https://www.evernote.com/l/AYLxke_ApwVMCLiBBt23Dv_sEj-we6yqe48,https://www.evernote.com/l/AYJD8oZFhStHrZMDcWBcDPrLzjCXg2Ytdm8,,8.2147799,4.873239994,"Irepodun, Kwara, Nigeria"
6849,"One dead, official injured as drug addicts raze NDLEA office",4/4/2019,,Kazaure,Jigawa,1.0,,,,Other Armed Actor,,,,,,,,,,,,,,,1.0,,,,Gun,,,Other,,,Government Building,,,,,,,https://www.evernote.com/shard/s386/sh/e0de0677-77ad-47c3-9417-200c8178ca2b/94b3fca1fdc038034eb120175dc341f5,https://www.evernote.com/l/AYLK4vAKS9BJAYpKOQHgyigw7d_dL0vgyBA,,12.6532933,8.4120775,"Kazaure, Jigawa, Nigeria"
6878,One killed as Civil Defence officer ‘accidentally’ opens fire in Lagos,4/9/2019,,Apapa,Lagos,1.0,,State Actor,,,,,,,,,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,https://www.evernote.com/l/AYLPZfNkwRBLAo0LTf3doVo2mT-cdor8WrA,https://www.evernote.com/l/AYK7dIx56U9KUbjVvznxIcf654EMCEplJlg,https://www.evernote.com/l/AYJoA1C8BOpHnohw1WcfhXZRDFYyfrYtUuM,6.4379001,3.364379883,"Apapa, Lagos, Nigeria"
6880,"Boko Haram Kill Policeman, Take Several Hostages In Niger",4/9/2019,,Diffa,Diffa,5.0,Boko Haram,State Actor,,,,,,,,2.0,3.0,,,,,,,,,,,Bomb,Gun,,Suicide Bombing,,,,Government Building,,,,,Other,"""several"" hostages; 2 BH and 2 security forces also killed",https://www.evernote.com/l/AYKjgp-_hX5PQqio01d0k3uW2Mdz_4EtzWk,https://www.evernote.com/l/AYKJdfnTn5lNV7xjZcV6uxWO5jLH6chjG4c,https://www.evernote.com/l/AYJTITNyOGtDeoWPuVpXI1KT9aiV2Ws9spE,13.31563,12.61147022,"Diffa, Diffa, Niger"
7019,"Armed Bandits Slay 82-year Old District Head, policeman In Sokoto",5/7/2019,Balle,Gudu,Sokoto,1.0,,,,Other Armed Actor,,,,,,,1.0,,,1.0,,,,,,,,,Gun,,,,,,Government Building,,,,,Other,,https://www.evernote.com/l/AYKshL8185BGGrmcs8JexBQiMT40FryyA60,https://www.evernote.com/l/AYIWyEoxzaxIA5AACkELr_4SqBtoHUUcMAQ,https://www.evernote.com/l/AYKfVYBbguNHtYWphTsaxSEcmwe3NN_15T8,13.34897,4.589550018,"Gudu, Sokoto, Nigeria"
7195,"Gunmen Attack Taraba Community, Burn Down Police Station",6/20/2019,"Chunku, Sondi",Wukari,Taraba,7.0,,,Sectarian Actor,,,,,,,,,7.0,,,,,,,,,,,,,,Other,,,Government Building,,,,,Other,,https://www.evernote.com/shard/s386/sh/986d5404-2696-41e0-96eb-cded3f5f9660/eb8159d78e234dc337f5003b1df00ba9,https://www.evernote.com/shard/s386/sh/6d2ba7fe-50a7-4e88-8c75-25eceb38be35/3e5e7e9a1ee458107b43f04c88d3beac,,7.87012,9.78166008,"Wukari, Taraba, Nigeria"
7233,"Gunmen invade station in Bayelsa community, kill DPO, pregnant policewoman, others",7/1/2019,Agudama,Yenegoa,Bayelsa,4.0,,,,Other Armed Actor,,,,,,,4.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,https://www.evernote.com/l/AYISk14mGdVA-aQkhbKQ8Qej967XEOSD39k,https://www.evernote.com/l/AYLAkHFgT2dHV6MYXCHXwJOp17bE8X3KIcs,https://www.evernote.com/l/AYJimJbdIHhFm6TTL1GpP8vqXA2BO5f3xTA,4.9340801,6.269579887,"Yenegoa, Bayelsa, Nigeria"
7237,Mob burn police station after officer killed man,7/1/2019,Otoko,Obowo,Imo,0.0,,,,,,,Other,,,,0.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,https://www.evernote.com/l/AYIblqguEDhH6KHmYQJ9o6Js4i6Lk8ukWiE,https://www.evernote.com/l/AYL6PaYDE5dLCYGGgqezW_pXUqW8UtVvsSE,,5.5714798,7.369579792,"Obowo, Imo, Nigeria"
7259,"Three killed as Shiites, police clash again over El-Zakzaky",7/9/2019,,AbujaMun,Federal Capital Territory,3.0,,State Actor,,Other Armed Actor,,,,,,,1.0,,,,,,,,2.0,,,,Gun,,,Other,,,Government Building,,,,,,,https://www.evernote.com/l/AYKoHComQdZDa6-nl2QgDy3NjUzf0DGrkaU,https://www.evernote.com/l/AYLFfwY9ez5DjYBFc5fAi17-wKnNfaJ1DmM,https://www.evernote.com/l/AYKN9-wQx-NJKJa9zt3U2DjiF-EpAsneTh8,8.9062309,7.189050198,"AbujaMun, Federal Capital Territory, Nigeria"
7272,"One dead, others injured as police, hoodlums clash in Ibadan",7/13/2019,,IbadanNorth,Oyo,1.0,,State Actor,,Other Armed Actor,,,,,,,,,,,,,,,1.0,,,,Gun,,,Other,,,Government Building,,,,,,,https://www.evernote.com/l/AYJS9gVVWsxIQZFIuJxGLK5PmYs3YwLuBws,https://www.evernote.com/l/AYIEj0kCRYdGwaB04I1dMK4njCx0a2EcRUM,,7.40201,3.917380095,"IbadanNorth, Oyo, Nigeria"
7416,"Scores dead, secretariat, houses razed as Boko Haram recaptures Borno areas",8/21/2019,,Magumeri,Borno,20.0,Boko Haram,,,,,,,,,,,,,,,,,,,,,,Gun,,,Other,,,Government Building,,,,,Other,"""scores"" feared dead across both attacks",https://www.evernote.com/l/AYJu8UOzv0lOtp79A2yf8TcdHubypEcxNkM,https://www.evernote.com/l/AYIH9Bh9k8JLnIzUWvkqPLoFb9yWXx_LcDQ,https://www.evernote.com/l/AYKj0QViLStE2b6MWtE2xx39O6Ks2DzMw_Y,12.11463,12.82275963,"Magumeri, Borno, Nigeria"
7433,Gunmen attack Enugu Police station,8/25/2019,Ikiriki,EnuguSou,Enugu,0.0,,,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,https://www.evernote.com/l/AYLRHAHyyUlCjKDI9mgAQGAgAqX1Wvxz7As,https://www.evernote.com/l/AYKr6T4E3sxH3qaD3tsENWvSJHcOojLKQoE,https://www.evernote.com/l/AYIiEezgdH1JZoIZaPNAWr2KA9s91GxkB2Q,6.4470701,7.505147934,"EnuguSou, Enugu, Nigeria"
7434,Gunmen invade Customs warehouse in Calabar,8/25/2019,,Calabar,Cross River,0.0,,,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,https://www.evernote.com/l/AYIe1HprAntCR6e_knsKjkQeWHrFUYMcdhA,https://www.evernote.com/l/AYIAWp7-049N84n07CG6WNT_ugl_M8pe3Uk,https://www.evernote.com/l/AYKIWEWJYVhHT4lu0-9sRubxsIvi9b0t1gA,4.9767599,8.336350441,"Calabar, Cross River, Nigeria"
7457,"Gunmen kill seven, burnt houses in Kaura local government",8/29/2019,Zangan,Kaura,Kaduna,7.0,,,,Other Armed Actor,,,,,,,,,,,,,,,7.0,,,,Gun,,,,,,Government Building,,,,,Other,,https://www.evernote.com/l/AYKkHblz4B1LOrAtjcMZcqR_e5W03iVbvuU,https://www.evernote.com/l/AYKboY69HQdIWLz6IfVz71bnBnMKsrb9eUI,https://www.evernote.com/l/AYIbyvhUXvtLsK0zNfnVXkeztfvymamFvKU,9.6113644,8.393109322,"Kaura, Kaduna, Nigeria"
7483,ISWAP claims killing 10 Nigerian soldiers,9/4/2019,Gajiram,Nganzai,Borno,10.0,Boko Haram,,,,,,,,,,10.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,Other,,https://www.evernote.com/l/AYJwM6LCNhRMIpMygDQVZ7YInjjN5jtSrjw,,,12.2615,13.10779953,"Nganzai, Borno, Nigeria"
7498,"One killed, five injured in Niger political violence",9/8/2019,Kokoki,Shiroro,Niger,1.0,,,,Other Armed Actor,,,,,,,,,,,,,,,,1.0,,,Gun,,,Other,,,Government Building,,,,,Other,,https://www.evernote.com/l/AYKD6HMScDhI_J5PKVDOXoNFOWuZO1itCAQ,https://www.evernote.com/l/AYJUCz1j3qdEvICOtkbBcCg2rTkUkKUcpFc,https://www.evernote.com/l/AYLAGFoFP7dOEa_WZqyazl0jNV_SOwsUr_0,9.8744602,6.709259987,"Shiroro, Niger, Nigeria"
7757,"Armed men invade INEC office in Kogi community, chase officials, observers into hiding",11/16/2019,Ugwolawo,Ofu,Kogi,0.0,,State Actor,,,,,,Election-related Actor,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,https://www.evernote.com/l/AYICf4Oy7YxKHYgxHc3YUhsfwK5cA5KXeeI/,,,7.356969833,7.104259968,"Ofu, Kogi, Nigeria"
