,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
126,Attack on Police Station in Mainok,11/9/2011,Mainok,Kaga,Borno,4.0,Boko Haram,,,,,,,,,,4.0,,,,,,,,,,,Bomb,Gun,Machete,,,,,Government Building,,,,,,,http://allafrica.com/stories/201111111084.html,http://www.tribune.com.ng/index.php/news/31094-boko-haram-attacks-police-outpost-kills-2-in-borno,,,,"Kaga, Borno, Nigeria"
127,Government Official's Brother Killed in Borno State,11/9/2011,,Kaga,Borno,2.0,Boko Haram,,,,,,,,,,,,,,,,,,2.0,,,,Gun,,,,Targeted Killing,,Government Building,,,,,Other,,http://www.thenationonlineng.net/2011/index.php/news/25984-boko-haram-kills-village-head%E2%80%99s-brother-in-borno.html,,,,,"Kaga, Borno, Nigeria"
142,"Robbers Bomb Police Station, Kill Two Policemen",11/20/2011,,Kabba/Bunu,Kogi,2.0,,,,,,Robber,,,,,,,,,,,,,2.0,,,Bomb,,,,,Targeted Killing,,Government Building,,,Bank,,,,http://www.vanguardngr.com/2011/11/robbers-bomb-kogi-police-station-kill-2/,http://www.tribune.com.ng/sun/front-page-articles/5619-robbers-on-the-rampage-bomb-police-station-kill-2-policemen-loot-armoury-in-kogi-attack-ogun-ex-deputy-govs-house-,http://www.thisdaylive.com/articles/bandits-storm-kogi-police-station-kill-two-cops-attack-bank/103232/,,,"Kabba/Bunu, Kogi, Nigeria"
144,Attack on Maiduguri Police Station,11/21/2011,Bulumkutu Market area,Maiduguri,Borno,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201111230178.html,,,,,"Maiduguri, Borno, Nigeria"
151,Militants Launch Attack in Geidam,11/26/2011,Geidam,Geidam,Yobe,4.0,Boko Haram,,,,,,,,,,,,,,,,,,4.0,,,Bomb,Gun,,,,,,Government Building,Church,,Bank,,,,http://allafrica.com/stories/201111210606.html,http://allafrica.com/stories/201111281098.html,,,,"Geidam, Yobe, Nigeria"
152,Violence Among Political Parties in Kogi State,11/29/2011,Ajaka,Igalamela-Odolu,Kogi,0.0,,,Sectarian Actor,,,,,,,,,,,0.0,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.tribune.com.ng/index.php/news/31982-govt-accuses-acn-candidate-of-instigating-violence-govt-pdp-trying-to-cover-their-crime-can,http://allafrica.com/stories/201111290790.html,,,,"Igalamela-Odolu, Kogi, Nigeria"
160,100 Gunmen Attack Azare banks and police stations,12/4/2011,Azare,Katagum,Bauchi,7.0,Boko Haram,,,,,,,,,3.0,3.0,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201112050951.html,http://allafrica.com/stories/201112050284.html,http://www.msnbc.msn.com/id/45541894/ns/world_news-africa/t/police-die-when-town-attacked-north-nigeria/,,,"Katagum, Bauchi, Nigeria"
168,Gunmen Kill Three Soldiers in Borno,12/11/2011,,Kukawa,Borno,3.0,Boko Haram,,,,,,,,,,3.0,,,,,,,,,,,,Gun,,,,Targeted Killing,,Government Building,,,,,,,http://allafrica.com/stories/201112130708.html,http://news.xinhuanet.com/english/world/2011-12/13/c_131302374.htm,,,,"Kukawa, Borno, Nigeria"
169,Arsonists Blow up Ikole INEC Office,12/12/2011,Ikole,Ekiti,Ekiti,0.0,,,,Other Armed Actor,,,,,,,,,,0.0,,,,,,,,Bomb,,,,,,,Government Building,,,,,,bomb/arson?,http://allafrica.com/stories/201112130343.html,http://ngrguardiannews.com/index.php?option=com_content&view=article&id=70655:inecs-office-bombed-in-ekiti&catid=1:national&Itemid=559,,,,"Ekiti, Ekiti, Nigeria"
170,Morning Suicide Explosion in Maiduguri,12/13/2011,"London Chiki Area, Maiduguri",Maiduguri,Borno,10.0,Boko Haram,,,,,,,,,1.0,4.0,,,,,,,,5.0,,,Bomb,,,Suicide Bombing,,,,Government Building,,,,School,,,http://allafrica.com/stories/201112130708.html,http://allafrica.com/stories/201112140352.html,http://allafrica.com/stories/201112140229.html,,,"Maiduguri, Borno, Nigeria"
172,Bomb Targets Military Checkpoint,12/14/2011,Maiduguri,Maiduguri,Borno,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,post=AOGB?,http://allafrica.com/stories/201112151296.html,,,,,"Maiduguri, Borno, Nigeria"
173,Gunmen Raid Airforce Secondary School in Kano,12/15/2011,Kwa,Dawakin Tofa,Kano,4.0,Boko Haram,,,,,,,,,,4.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201112170022.html,http://allafrica.com/stories/201112180008.html,,,,"Dawakin Tofa, Kano, Nigeria"
178,"Bandits Bomb Police Station, Bank in Kogi",12/19/2011,Ayetoro-Gbede,Ijumu,Kogi,2.0,,,,,,Robber,,,,,,,,,,,,,2.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201112201131.html,http://allafrica.com/stories/201112210346.html,http://www.vanguardngr.com/2011/11/robbers-bomb-kogi-police-station-kill-2/,,,"Ijumu, Kogi, Nigeria"
184,Blasts Rock Maiduguri,12/22/2011,Maiduguri,Maiduguri,Borno,16.0,Boko Haram,,,,,,,,,,,,,,,,,,16.0,,,Bomb,Gun,,,,,,Government Building,Church,,,,Other,,http://allafrica.com/stories/201112230443.html,http://allafrica.com/stories/201112230674.html,http://allafrica.com/stories/201112270498.html,,,"Maiduguri, Borno, Nigeria"
187,Multiple Explosions Kill Four in Damaturu,12/22/2011,Damaturu,Damaturu,Yobe,5.0,Boko Haram,,,,,,,,,,5.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,Other,police targeted?,http://allafrica.com/stories/201112230631.html,http://allafrica.com/stories/201112230674.html,http://allafrica.com/stories/201112230443.html,,,"Damaturu, Yobe, Nigeria"
193,"Suicide Bomber Hits Yobe SSS HQ, Four Killed",12/25/2011,Damaturu,Damaturu,Yobe,4.0,Boko Haram,,,,,,,,,1.0,3.0,,,,,,,,,,,Bomb,Gun,,Suicide Bombing,,Targeted Killing,,Government Building,,,,School,,IDP report:  http://allafrica.com/stories/201112280567.html or http://allafrica.com/stories/201112280610.html,http://sundaytrust.com.ng/index.php?option=com_content&view=article&id=8864%3Asuicide-attack-kills-many-in-damaturu-bomb-attack-fails-in-josboko-haram-claims-responsibility&catid=41%3Alatest-news&Itemid=26,http://saferafricagroup.com/2011/12/26/christmas-day-bomb-attacks-kill-over-35-in-madalla-jos-and-damaturu/,http://www.reuters.com/article/2011/12/25/us-nigeria-blast-idUSTRE7BO03020111225,,,"Damaturu, Yobe, Nigeria"
205,"Gunmen Attack Police Station, Kill 12 Year-Old Girl in Jigaw",1/3/2012,Biriniwa,Biriniwa,Jigawa,1.0,Boko Haram,,,,,,,,,,,,,,,,,,1.0,,,Bomb,Gun,,,,,,Government Building,,,,,,police deactivate bomb planted in station,http://allafrica.com/stories/201201050011.html,http://allafrica.com/stories/201201050502.html,http://allafrica.com/stories/201201050566.html,,,"Biriniwa, Jigawa, Nigeria"
211,Three Bombs Detonated In Maiduguri,1/4/2012,Mairi,Maiduguri,Borno,0.0,Boko Haram,,,,,,,,,,,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,contested claim that customs office was target of bomb; following day 2 extra judicial killings of BK reported http://old.news.yahoo.com/s/ap/20120105/ap_on_re_af/af_nigeria_violence,http://saharareporters.com/news-page/three-bombs-detonated-maiduguri-despite-state-emergency-declaration-skynews-australia,http://allafrica.com/stories/201201050620.html,http://af.reuters.com/article/topNews/idAFJOE80400J20120105,,,"Maiduguri, Borno, Nigeria"
216,"Boko Haram Raid Banks in Potiskum, 2 dead",1/6/2012,Potiskum,Potiskum,Yobe,2.0,Boko Haram,,,,,,,,,,,,,,,,,,2.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201201080014.html,http://digitaljournal.com/article/317462,http://allafrica.com/stories/201201070050.html,,,"Potiskum, Yobe, Nigeria"
238,"Protesters Kill Inspector, Burn INEC Office With 23 Vehicles",1/11/2012,Minna,Chanchaga,Niger,1.0,,,,,,,Other,,,,1.0,,,,,,,,,,,,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201201120319.html,http://nationalmirroronline.net/news/28897.html,,,,"Chanchaga, Niger, Nigeria"
248,"Gunmen Kill Two, Soldiers Kill Four in Maiduguri",1/17/2012,Maiduguri,Maiduguri,Borno,6.0,Boko Haram,State Actor,,,,,,,,,2.0,,,,,,,,4.0,,,,Gun,,,,,,Government Building,,,,,,"gunmen kill 2 soldiers, but doubtful any killed by soldiers were BKH; soldiers rampage after attack",http://allafrica.com/stories/201201181256.html,http://allafrica.com/stories/201201181006.html,http://allafrica.com/stories/201201180770.html,,,"Maiduguri, Borno, Nigeria"
252,"Boko Haram Bombs Kano, Kills Over 200",1/20/2012,Kano,Kano Municipal,Kano,215.0,Boko Haram,,,,,,,,,5.0,50.0,,,,,,,10.0,150.0,,,Bomb,Gun,,Suicide Bombing,,Targeted Killing,,Government Building,,,,School,,"Abul Qaqa said:  ""Last night's (Friday) attacks and bombings of Kano city followed our warnings in the second week of December, 2011.""

Besides, Qaqa also referred reporters to an e-mail message in which Imam Muhammad Abubakar Shekau, Spiritual Head of the sect, threatened that: ""Unless urgent steps are taken, the group will launch endless and violent attacks on Kano and its environs because of arbitrary arrest and persecution of his members.""

Vanguard learnt that in the said e-mail, Shekau said the group had written an open letter to the people of Kano, including the Emir of Kano, Alhaji Ado Bayero; Governor Musa Kwankwaso, Alhaji Aminu Dantata and Khalifa Sheikh Isiaka Rabiu on recent happenings in the ancient city.

Shekau revealed that but for the intervention of some prominent scholars in Kano, his group would have made the city ungovernable a long time ago.

Alleges persecution

Qaqa said: ""The message here is that everybody knows that a lot of our people were killed in Kano State, especially in Wudil town. We had perfected plans to take revenge but some notable scholars intervened by pleading with us.

""They also assured that our members would nevear be persecuted again and we took them by their words. Unfortunately, however, about five months ago, security agencies began trailing and arresting our members who are carrying out their legitimate businesses, alleging that they are all thieves and armed robbers.

""Again, we perfected plans to attack the city of Kano but the scholars pleaded that we should not.

They advised that we should write a formal letter of complaint to some notable people.

We agreed and sent letters to the Emir of Kano, Wamban Kano, Dan Masanin Kano and the governor of Kano State.

""We also posted the open letter on the internet, but nothing was done to stop the persecution of our members.

""Recently, security agencies launched a fresh onslaught on some of our members in Kano city in which even women and children were not spared. Many houses were raided and a pregnant woman was manhandled.

'We respected Kano'

""Some of our members were tortured with electric shock. All these things happened in Kano, a city that we hold in high esteem.

""We have varied opinions about Kano, including the option of launching endless campaign of violence, but the scholars that have been talking to us are still persuading us to tarry a while.

""We are compelled to write this open letter so that the world will know what is happening.""  http://allafrica.com/stories/201201230277.html",http://allafrica.com/stories/201201210019.html,http://allafrica.com/stories/201201220041.html,http://allafrica.com/stories/201201230259.html,,,"Kano Municipal, Kano, Nigeria"
256,"DSP, Army Corporal, Eight Others Killed As Explosions Rock Bauchi",1/22/2012,Tafawa Balewa,Tafawa-Balewa,Bauchi,12.0,Boko Haram,,,,,,,,,,4.0,,,,,,,,8.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,no one alleging Boko Haram responsible; bombs at places of worship and simultaneous gunmen attacks at bank and police station,http://allafrica.com/stories/201201230679.html,http://allafrica.com/stories/201201230293.html,http://allafrica.com/stories/201201231093.html,,,"Tafawa-Balewa, Bauchi, Nigeria"
259,"Fresh Blasts, Gunfire Rock Kano",1/24/2012,Sheka,Kano Municipal,Kano,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,no casualities reported as of yet; interesting story about youths taking over police station http://nigerianssavingnigerians.org/2012/01/25/youths-take-over-police-station-in-kano-state-nigeria-open-jail-cell-gates-pictures/,http://allafrica.com/stories/201201240650.html,http://allafrica.com/stories/201201250428.html,http://allafrica.com/stories/201201250772.html,,,"Kano Municipal, Kano, Nigeria"
263,"Gunmen Attack Police Post, Kill Officer",1/27/2012,Mandawari,Kano Municipal,Kano,5.0,Boko Haram,,,,,,,,,4.0,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,one report notes death of 4 BH gunmen in addition to one police; impression is that BH deaths most likely under reported to curb retaliation,http://allafrica.com/stories/201201301042.html,http://allafrica.com/stories/201201280017.html,http://www.thenigerianvoice.com/nvnews/81210/1/policeman-4-bh-terrorists-killed-in-kano.html,,,"Kano Municipal, Kano, Nigeria"
266,"Boko Haram, Police in Fresh Gun Battle in Kano",1/29/2012,Naibawa,Kano Municipal,Kano,0.0,Boko Haram,State Actor,,,,,,,,0.0,0.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,casualties yet to be reported,http://allafrica.com/stories/201201300852.html,http://allafrica.com/stories/201201301535.html,,,,"Kano Municipal, Kano, Nigeria"
268,Gunmen Kill Four People in Borno,1/30/2012,Maiduguri,Maiduguri,Borno,5.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,4.0,,,Bomb,Gun,,,,Targeted Killing,,Government Building,,,,,,multiple locations' condradicting claims that AF barraks attacked; police station bombed however,http://allafrica.com/stories/201202010368.html,http://allafrica.com/stories/201202010198.html,http://allafrica.com/stories/201202020244.html,,,"Maiduguri, Borno, Nigeria"
269,Police Corporal Killed in Kogi,1/31/2012,Ogori,Ogori,Kogi,1.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,robbery of arm/ammunition,http://allafrica.com/stories/201202020624.html,http://allafrica.com/stories/201202020256.html,http://www.kogireports.com/ogori-police-station-bombed-police-corporal-killed,,,"Ogori, Kogi, Nigeria"
274,"Robbers Bomb Bank, Police Station, Kill Medical Doctor in Kogi",2/3/2012,Ajaokuta,Ajaokuta,Kogi,4.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,2.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201202060739.html,http://saharareporters.com/news-page/boko-haram-strikes-kogi-kills-4-police-station-bank-burnt-pm-news-lagos,http://allafrica.com/stories/201202060870.html,,,"Ajaokuta, Kogi, Nigeria"
283,"Gunmen Attack, Burn Kano Police Station",2/6/2012,Sharada,Kano Municipal,Kano,4.0,Boko Haram,,,,,,,,,,4.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,casualities eyewitness only; police report one wounded,http://allafrica.com/stories/201202080519.html,http://www.aljazeera.com/news/africa/2012/02/201226214510962947.html,http://www.google.com/hostednews/afp/article/ALeqM5iefDUUHfuE_BpkhjJUgwGMgdSXag?docId=CNG.956cc047c755305c8ad4580183554bcc.371,,,"Kano Municipal, Kano, Nigeria"
286,Suicide Bomber Hits Army Barracks in Kaduna,2/7/2012,Kawo,Kaduna North,Kaduna,3.0,Boko Haram,,,,,,,,,1.0,2.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,School,,casualties bombers only,http://allafrica.com/stories/201202080099.html,http://allafrica.com/stories/201202080020.html,http://allafrica.com/stories/201202080512.html,,,"Kaduna North, Kaduna, Nigeria"
290,Four Killed As Soldiers Battle Boko Haram in Maiduguri,2/10/2012,Konar-Yobe,Maiduguri,Borno,6.0,Boko Haram,State Actor,,,,,,,,4.0,2.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201202130476.html,http://allafrica.com/stories/201202130528.html,http://allafrica.com/stories/201202131138.html,,,"Maiduguri, Borno, Nigeria"
297,Civil Servant Mistaken for Suicide Bomber Shot in Kaduna,2/13/2012,Kaduna,Kaduna North,Kaduna,1.0,,State Actor,,,,,,,,,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,Kaduna bombed the next day,http://saharareporters.com/news-page/kaduna-ministry-official-taken-suicide-bomber-shot-soldiers-guarding-government-house,http://allafrica.com/stories/201202141159.html,,,,"Kaduna North, Kaduna, Nigeria"
302,"Gunmen Invade Kogi Prison, Free Inmates",2/15/2012,Koton Karfe,Kogi,Kogi,1.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201202160712.html,http://allafrica.com/stories/201202160883.html,http://allafrica.com/stories/201202160852.html,,,"Kogi, Kogi, Nigeria"
303,"Robbers Attack Police Outpost, Kill Corporal in Niger",2/15/2012,Tungan Maje,Suleja,Niger,1.0,,,,,,Robber,,,,,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://premiumtimesng.com/news/3814-suspected_armed_robbers_raid_police_outpost_kill_orporal.html,http://allafrica.com/stories/201202170655.html,,,,"Suleja, Niger, Nigeria"
305,"Communal clash in Delta: 20 injured, 2 missing",2/16/2012,Okuno Jesse,Ethiope West,Delta,0.0,,,Sectarian Actor,,,,,,,,,0.0,,,,,,,,,,,Gun,Machete,,,,,Government Building,,,,,,"youths attack police station, kidnap Chief and others; mentions displaced population since Feb. 9th; 1 report",http://www.vanguardngr.com/2012/02/communal-clash-in-delta-20-injured-2-missing/,,,,,"Ethiope West, Delta, Nigeria"
307,"Three Policemen Dead As Gunmen Attact M I Wushishi Estate, Minna",2/16/2012,Wushishi,Minna,Niger,3.0,Boko Haram,,,,,,,,,,3.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.thenationonlineng.net/2011/index.php/news/37057-boko-haram-kills-three-policemen-in-niger.html,http://allafrica.com/stories/201202170415.html,,,,"Minna, Niger, Nigeria"
319,Gunmen Kill Two Policemen in Minna,2/22/2012,Minna,Minna,Niger,2.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201202231257.html,http://allafrica.com/stories/201202230979.html,http://allafrica.com/stories/201202240211.html,,,"Minna, Niger, Nigeria"
325,"Prison, police station under gun, bomb attack in Gombe",2/24/2012,Gombe,Gombe,Gombe,14.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,12.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.vanguardngr.com/2012/02/prison-police-station-under-gun-bomb-attack-in-gombe/,http://www.bbc.co.uk/news/world-africa-17162556,http://www.tribune.com.ng/sat/index.php/news/6723-explosions-rock-gombe-five-die-in-kano.html,,,"Gombe, Gombe, Nigeria"
326,Unknown gunmen killed 5 worshipper​s in Kano,2/24/2012,Sheka,Kano Municipal,Kano,5.0,Boko Haram,,,,,,,,,,,,,,,,,,5.0,,,,Gun,,,,Targeted Killing,,Government Building,,Mosque,,,,"5 bombs detonated around city, 'Sule Kwaram, local vigilante head, primary target'",http://www.vanguardngr.com/2012/02/unknown-gunmen-killed-5-worshipper%E2%80%8Bs-in-kano/,http://www.google.com/hostednews/afp/article/ALeqM5iGKNbvoNnfeemcCfV7upGCxlNk3g?docId=CNG.7453e80027294121b001455bf26f9292.11,,,,"Kano Municipal, Kano, Nigeria"
331,"Gunmen Kill Three Cops, Loot Armoury in Adamawa",2/26/2012,Shuwa,Madagali,Adamawa,3.0,Boko Haram,,,,,,,,,,3.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201202280421.html,http://allafrica.com/stories/201202271388.html,,,,"Madagali, Adamawa, Nigeria"
336,"Gunmen Attack Bank, Kill Police Corporal in Bauchi",2/28/2012,,Jama'are,Bauchi,1.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,simultaneous attacks; 12 bombs recovered at bank;,http://allafrica.com/stories/201202290361.html,http://allafrica.com/stories/201202290349.html,http://allafrica.com/stories/201202290635.html,,,"Jama'are, Bauchi, Nigeria"
337,Gunmen Attack Police Headquarter in Adamawa,2/28/2012,Demsa,Demsa,Adamawa,2.0,Boko Haram,State Actor,,,,,,,,1.0,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,eyewitness claim killed 'attacker' a passerby,http://www.dailytrust.com.ng/index.php?option=com_content&view=article&id=155984:gunmen-raid-police-station-kill-officer-in-adamawa&catid=1:news&Itemid=2,http://allafrica.com/stories/201202290847.html,http://www.thisdaylive.com/articles/one-killed-as-gunmen-attack-police-stations/110379/,,,"Demsa, Adamawa, Nigeria"
341,Boko Haram injures soldier in Maiduguri,2/29/2012,Abaganaram,Maiduguri,Borno,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://www.thenationonlineng.net/2011/index.php/news/38333-boko-haram-injures-soldier-in-maiduguri.html,http://allafrica.com/stories/201203010710.html,,,,"Maiduguri, Borno, Nigeria"
362,"Gunmen Raid Konduga Town, Raze Public Buildings, Churches",3/6/2012,Konduga,Konduga,Borno,4.0,Boko Haram,,,,,,,,,,,,,,,,,,4.0,,,,Gun,,,,,,Government Building,Church,,,,,,http://allafrica.com/stories/201203080374.html,http://allafrica.com/stories/201203080617.html,http://allafrica.com/stories/201203080739.html,,,"Konduga, Borno, Nigeria"
363,"Gunmen Kill DPO, Four Police Officers in Ashaka",3/7/2012,Ashaka,Funakaye,Gombe,5.0,,,,,,Robber,,,,,4.0,,,,,,,,1.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201203091124.html,http://allafrica.com/stories/201203090824.html,,,,"Funakaye, Gombe, Nigeria"
369,"Gunmen Attack Police Station, Kill One in Maiduguri",3/9/2012,Bulabulim Ngarnam,Maiduguri,Borno,1.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,1 report,http://allafrica.com/stories/201203100430.html,,,,,"Maiduguri, Borno, Nigeria"
371,"One Killed, Three Injured As Gunmen Attack Police Station in Kano",3/9/2012,Rijiyar Zaki,Kano Municipal,Kano,1.0,Boko Haram,State Actor,,,,,,,,,,,,,,,,,1.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201203110025.html,http://www.thenationonlineng.net/2011/index.php/news/39291-boko-haram-strikes-again-in-kano-injures-three-policemen.html,,,,"Kano Municipal, Kano, Nigeria"
374,Attack On Mobile Base in Borno,3/10/2012,Bama,Bama,Borno,1.0,Boko Haram,State Actor,,,,,,,,1.0,,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201203120572.html,http://pmnewsnigeria.com/2012/03/11/boko-haram-attack-foiled-in-bama/,,,,"Bama, Borno, Nigeria"
384,Policeman Killed As Gunmen Attack Police Station in Kano,3/12/2012,Mandawari,Kano Municipal,Kano,1.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,3rd time this police station has been attacked,http://allafrica.com/stories/201203130560.html,http://allafrica.com/stories/201203130332.html,http://allafrica.com/stories/201203121438.html,,,"Kano Municipal, Kano, Nigeria"
399,Two Policemen Injured As Gunmen Attack Jos Police College,3/19/2012,Jos,Jos South,Plateau,0.0,,,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201203201300.html,http://allafrica.com/stories/201203210160.html,http://allafrica.com/stories/201203201106.html,,,"Jos South, Plateau, Nigeria"
401,JTF Kills Nine Boko Haram Members,3/20/2012,Tudun Wada,Tudun Wada,Kano,9.0,,State Actor,,,,,,,,9.0,,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,incident began as BH attack on bank and Police weapons chache,http://allafrica.com/stories/201203220287.html,http://allafrica.com/stories/201203220321.html,http://allafrica.com/stories/201203220660.html,,,"Tudun Wada, Kano, Nigeria"
408,JTF Kills Three Boko Haram Suspects in Maiduguri,3/24/2012,Abaganaram,Maiduguri,Borno,10.0,,State Actor,,,,,,,,10.0,,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,simultaneous 'rocket-launcher attack' on Lamisula police station in the area; Gun battle w/BH in Sabon Gari previous day - http://www.thenationonlineng.net/2011/index.php/news/40829-jtf-boko-haram-in-gun-battle.html,http://allafrica.com/stories/201203250176.html,http://allafrica.com/stories/201203261156.html,http://www.washingtonpost.com/world/africa/car-bomb-explodes-during-nigeria-military-raid-on-suspected-sect-hideout-wounding-2-soldiers/2012/03/24/gIQAn1GoXS_story.html,,,"Maiduguri, Borno, Nigeria"
416,"Boko Haram Attacks Police Station, Military Base",3/28/2012,Damagun,Fune,Yobe,4.0,Boko Haram,State Actor,,,,,,,,3.0,1.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,"multiple attacks - police station/military barraks/prison (freed 14) Abul Qaqa: alleged that whenever there was exchange of gunfire, ""security operatives normally kill vulnerable civilians,"" and declare them as sect members.

He said they attacked Damagun for two reasons: ""One of our members was arrested there following a tip off and therefore, we went there to free him.

""The second reason is that all police stations and other security outfits are our targets wherever they are in this country.""",http://allafrica.com/stories/201203300246.html,http://allafrica.com/stories/201203300207.html,http://allafrica.com/stories/201203300757.html,,,"Fune, Yobe, Nigeria"
421,"Gunmen Kill Four, Rob Bank in Borno",3/30/2012,Askira,Askira/Uba,Borno,4.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,3.0,,,,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201203310301.html,http://allafrica.com/stories/201204010033.html,,,,"Askira/Uba, Borno, Nigeria"
426,Gunmen burn police station in Nangere,4/1/2012,Nangere,Nangere,Yobe,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://sundaytrust.com.ng/index.php?option=com_content&view=article&id=9751:gunmen-burn-police-stations-in-potiskum-nangere&catid=41:latest-news&Itemid=26,http://allafrica.com/stories/201204020760.html,,,,"Nangere, Yobe, Nigeria"
427,Gunmen burn police station in Potiskum,4/1/2012,Potiskum,Potiskum,Yobe,1.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://sundaytrust.com.ng/index.php?option=com_content&view=article&id=9751:gunmen-burn-police-stations-in-potiskum-nangere&catid=41:latest-news&Itemid=26,http://allafrica.com/stories/201204020760.html,,,,"Potiskum, Yobe, Nigeria"
429,Hoodlums Storm Police Headquaters in Imo,4/1/2012,Nwaorieubi,Mbaitoli,Imo,1.0,,,,Other Armed Actor,,,,,,,1.0,,,,,,,,,,,,Gun,,,,Targeted Killing,,Government Building,,,,,,1 report,http://allafrica.com/stories/201204040238.html,,,,,"Mbaitoli, Imo, Nigeria"
439,Six Killed by STF in Plateau,4/2/2012,,Bassa,Plateau,5.0,,State Actor,,,,,,,,,,5.0,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,"Fulani youth fracas, STF intervenes kills 6. resulted in protest by women for over use of force by state; supposed one officer killed",http://allafrica.com/stories/201204030526.html,http://www.punchng.com/news/five-killed-police-station-burnt-in-jos-festival-tragedy/,,,,"Bassa, Plateau, Nigeria"
